% Model:              Pt_secm_Bruker_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 4 2020, 16:28
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
126.52999999999999                                25                                                1.995840400396531E-16                             19.25686610322588                                 17.022573831581123                                0.282856462133314
130.61                                            25                                                1.9480667572204245E-16                            18.795922107041232                                16.599464901357063                                0.276085936994281
134.68999999999997                                25                                                1.9016272094661679E-16                            18.34785013053429                                 16.26114499593037                                 0.2695041955286963
138.77999999999997                                25                                                1.859941377780075E-16                             17.945644383511034                                15.926759441959737                                0.26359629162838516
142.86                                            25                                                1.8188086117693304E-16                            17.548774890656368                                15.48056745850435                                 0.2577666447082548
146.94                                            25                                                1.7792634939845296E-16                            17.167223821709722                                15.110130971650248                                0.2521623049621018
151.01999999999998                                25                                                1.741541700991769E-16                             16.803265102019097                                14.853638997125335                                0.24681632730114111
155.1                                             25                                                1.705219370270891E-16                             16.452809094058683                                14.51879682135381                                 0.24166862353919671
159.18                                            25                                                1.6711418319911745E-16                            16.124011965966798                                14.263395726034501                                0.2368391244921446
163.27                                            25                                                1.636278028593553E-16                             15.787628558884883                                14.003648794690074                                0.23189786755200517
167.34999999999997                                25                                                1.6047296598857688E-16                            15.483234123407827                                13.711409231739987                                0.22742697092143255
171.43                                            25                                                1.5736016665037474E-16                            15.182895679261406                                13.454873383240093                                0.22301540683656906
175.51                                            25                                                1.5442273502632355E-16                            14.899477589014843                                13.187473557449781                                0.21885228398035522
179.58999999999997                                25                                                1.5153593412736437E-16                            14.620944604278781                                12.924427856741563                                0.21476102673381775
183.67                                            25                                                1.4886520046650199E-16                            14.363258867010407                                12.696048683031869                                0.2109760239697179
187.76                                            25                                                1.4599825608626058E-16                            14.086641738482834                                12.49374893389939                                 0.20691293981218703
191.83999999999997                                25                                                1.4334147057580322E-16                            13.830301788506365                                12.206307203104803                                0.2031477790813455
195.92                                            25                                                1.4086891336085815E-16                            13.591737105622418                                12.003237699172281                                0.19964342779816835
200                                               25                                                1.3849823671856226E-16                            13.363002369790484                                11.813654707916028                                0.19628380185117822
